Date,Time,Detection Area,Quadrant,Center X,Center Y,Object Area,Closest Point X,Closest Point Y,Distance,Angle from Center,Angle from Closest,New Angle,
07/05/2023,18:20:21,3,RIGHT,624,188,600.5,600,190,308.70698080866265,-42.2361,133.7078,0.0,
07/05/2023,18:20:21,3,RIGHT,620,189,530.0,598,188,307.7466490475567,-42.5104,134.5692,0.0,
07/05/2023,18:20:21,1,LEFT,21,299,126.5,32,302,288.5619517538652,-151.1084,-92.3859,294.1,
07/05/2023,18:20:21,3,RIGHT,631,202,182.5,620,207,320.5760440207596,-40.1123,125.918,0.0,
07/05/2023,18:20:21,1,LEFT,22,322,248.5,32,321,288.00173610587836,-154.5217,-89.8674,297.72,
07/05/2023,18:20:21,3,LEFT,27,320,211.5,37,318,283.0070670495703,-153.8274,-90.2684,0.0,
07/05/2023,18:20:21,3,RIGHT,604,247,671.5,560,246,251.14935795259362,-37.3829,127.6262,0.0,
07/05/2023,18:20:21,3,LEFT,30,304,152.0,39,306,281.3485382936972,-151.1134,-91.8867,0.0,
07/05/2023,18:20:21,3,LEFT,6,287,153.5,14,289,307.5662530252628,-150.5903,-93.9408,0.0,
07/05/2023,18:20:21,3,LEFT,40,281,168.5,47,275,276.6839352040519,-146.8325,-96.1592,0.0,
07/05/2023,18:20:22,3,LEFT,38,281,385.5,52,287,270.0240730009086,-147.019,-94.5794,0.0,
07/05/2023,18:20:22,3,LEFT,45,275,236.5,57,280,266.02443496791795,-145.5003,-95.613,0.0,
07/05/2023,18:20:22,3,LEFT,42,268,755.0,67,256,260.969346858975,-144.8148,-99.1578,0.0,
07/05/2023,18:20:22,3,LEFT,5,262,108.0,14,256,312.62117650600703,-147.3292,-98.0944,0.0,
07/05/2023,18:20:22,2,LEFT,47,267,1029.5,72,258,255.63254878829494,-144.1853,-98.9876,624.51,
07/05/2023,18:20:22,3,RIGHT,631,185,111.5,623,188,330.50416033690107,-41.8955,129.6991,0.0,
07/05/2023,18:20:22,2,LEFT,55,270,496.0,74,280,249.23081671414553,-143.7931,-95.856,633.5,
07/05/2023,18:20:22,3,RIGHT,629,189,252.0,618,190,325.1215157444982,-41.668,130.1696,0.0,
07/05/2023,18:20:22,2,LEFT,65,274,892.0,97,280,226.55904307707516,-143.3103,-96.2202,645.64,
07/05/2023,18:20:22,3,LEFT,5,269,184.5,12,270,312.03204963593083,-148.2405,-96.3124,0.0,
07/05/2023,18:20:22,2,LEFT,80,281,191.5,89,289,233.07080469247967,-142.6745,-94.7257,666.17,
07/05/2023,18:20:22,3,LEFT,7,278,213.0,19,280,303.64617567161946,-149.2791,-95.1364,0.0,
07/05/2023,18:20:22,3,RIGHT,621,190,175.0,605,190,313.2491021535417,-42.3116,132.6756,0.0,
07/05/2023,18:20:22,2,LEFT,78,279,894.0,99,280,224.59073890078372,-142.6034,-96.254,662.88,
07/05/2023,18:20:22,2,LEFT,86,294,253.0,97,299,223.98660674245681,-144.0018,-93.2749,678.74,
07/05/2023,18:20:22,2,LEFT,22,288,1093.0,67,294,254.33245958783948,-149.4337,-93.747,608.1,
07/05/2023,18:20:23,2,LEFT,44,293,2006.5,107,299,214.03270778084362,-148.2191,-93.3665,629.39,
07/05/2023,18:20:23,3,RIGHT,618,210,239.0,600,212,300.1066477104431,-40.4426,128.4537,0.0,
07/05/2023,18:20:23,2,LEFT,96,297,92.5,104,299,217.0184323968819,-143.2942,-93.3385,694.2,
07/05/2023,18:20:23,2,LEFT,94,298,120.5,112,299,209.05740838343903,-143.7022,-93.4142,691.52,
07/05/2023,18:20:23,2,LEFT,100,296,194.0,114,299,207.06762180505189,-142.6333,-93.4336,700.03,
07/05/2023,18:20:24,3,LEFT,104,274,125.5,112,277,212.3982109152523,-138.6642,-96.9647,0.0,
07/05/2023,18:20:24,3,LEFT,58,278,1199.0,122,280,202.0,-144.6282,-96.671,0.0,
07/05/2023,18:20:24,3,RIGHT,613,208,512.5,578,205,282.4694673765644,-41.1444,135.2502,0.0,
07/05/2023,18:20:24,3,RIGHT,604,208,622.5,560,207,265.27155897306443,-42.0318,139.6502,0.0,
07/05/2023,18:20:25,3,LEFT,129,259,193.0,154,258,177.2004514666935,-132.9752,-101.3099,0.0,
07/05/2023,18:20:26,2,LEFT,115,287,230.0,129,282,194.74342094150447,-139.1922,-96.4716,721.43,
07/05/2023,18:20:27,2,LEFT,181,257,120.0,189,258,144.9310180741169,-123.8813,-102.7052,851.16,
07/05/2023,18:20:28,3,RIGHT,625,245,318.0,608,246,297.3550066839299,-35.6796,117.1981,0.0,
07/05/2023,18:20:28,3,RIGHT,610,242,640.0,573,244,264.1685068285014,-37.4347,124.886,0.0,
07/05/2023,18:20:28,3,RIGHT,619,243,446.5,593,244,283.3813684771813,-36.4692,120.5044,0.0,
07/05/2023,18:20:28,3,LEFT,52,255,277.0,62,260,264.8848806557294,-142.0511,-98.4889,0.0,
07/05/2023,18:20:29,3,LEFT,198,243,96.5,207,246,135.07405376311175,-118.9003,-106.0631,0.0,
07/05/2023,18:20:29,3,LEFT,88,258,160.5,99,260,229.0,-138.3971,-99.335,0.0,
07/05/2023,18:20:29,2,LEFT,198,271,203.0,214,275,115.15641536623133,-122.298,-100.204,937.56,
07/05/2023,18:20:30,2,LEFT,201,243,93.0,209,244,134.52509059651288,-118.3008,-106.5961,887.55,
07/05/2023,18:20:30,2,LEFT,206,242,128.0,222,246,122.80065146407001,-117.1811,-107.0029,901.83,
07/05/2023,18:20:31,2,LEFT,202,249,165.5,207,256,129.86531484580476,-118.7596,-103.9838,905.24,
07/05/2023,18:20:31,2,LEFT,212,248,490.0,232,251,111.8257573191436,-116.5651,-106.5632,940.02,
07/05/2023,18:20:31,2,LEFT,224,247,124.5,232,251,111.8257573191436,-113.8644,-106.5632,986.39,
07/05/2023,18:20:31,2,LEFT,205,245,165.5,222,251,119.85407794480753,-117.7046,-105.9141,906.03,
07/05/2023,18:20:32,2,LEFT,207,238,353.5,224,244,122.44182292011173,-116.5651,-107.5713,894.77,
07/05/2023,18:20:34,3,RIGHT,325,195,270.0,333,207,113.7453295744489,-88.9351,-130.7809,0.0,
07/05/2023,18:20:37,3,RIGHT,309,181,550.0,322,190,130.01538370516005,-92.2259,-132.4739,0.0,
07/05/2023,18:20:37,3,RIGHT,310,182,614.0,324,195,125.06398362438324,-92.0309,-131.7603,0.0,
07/05/2023,18:20:39,3,RIGHT,316,191,134.0,320,195,125.0,-90.8394,-130.9598,0.0,
07/05/2023,18:20:39,2,RIGHT,295,253,1102.0,322,265,55.036351623268054,-96.7571,-111.1726,981.15,
07/05/2023,18:20:39,3,RIGHT,315,208,888.5,333,224,96.87620966986684,-91.1189,-126.2349,0.0,
07/05/2023,18:20:39,3,RIGHT,321,211,597.5,335,224,97.16480844420988,-89.7735,-126.6561,0.0,
07/05/2023,18:20:39,3,RIGHT,340,201,100.0,335,205,115.97413504743201,-85.6513,-131.7161,0.0,
07/05/2023,18:20:39,3,LEFT,294,199,126.5,304,202,119.07980517283357,-95.6035,-126.4088,0.0,
07/05/2023,18:20:39,2,RIGHT,300,234,1059.5,324,244,76.10519036176179,-94.9697,-118.4956,760.95,
07/05/2023,18:20:40,3,RIGHT,516,193,118.5,505,195,223.27113561766106,-54.1238,161.8405,0.0,
07/05/2023,18:20:40,2,LEFT,294,250,1107.0,317,263,57.07889277132134,-96.9272,-111.1941,1395.41,
07/05/2023,18:20:40,3,LEFT,307,199,829.5,304,212,109.17875251164945,-92.8085,-124.0193,0.0,
07/05/2023,18:20:40,2,LEFT,300,255,930.5,317,265,55.08175741568164,-95.4662,-110.5133,1503.57,
07/05/2023,18:20:41,3,LEFT,295,216,113.0,299,222,100.22474744293447,-95.7563,-120.7077,0.0,
07/05/2023,18:20:41,3,LEFT,301,195,191.0,304,205,116.1077086157504,-94.0402,-125.7067,0.0,
07/05/2023,18:20:41,3,RIGHT,348,200,99.5,350,205,118.84864324004712,-83.9458,-135.2502,0.0,
07/05/2023,18:20:41,3,RIGHT,308,198,127.5,327,200,120.20399327809372,-92.583,-131.2155,0.0,
07/05/2023,18:20:42,2,RIGHT,311,223,1490.5,339,236,86.12200647918046,-92.1387,-123.9011,675.21,
07/05/2023,18:20:42,3,RIGHT,350,180,114.0,350,188,135.36617007214173,-83.97,-139.1849,0.0,
07/05/2023,18:20:42,2,RIGHT,311,224,1533.0,344,236,87.36131867136622,-92.1476,-124.992,684.05,
07/05/2023,18:20:42,3,LEFT,340,182,720.0,318,193,127.01574705523721,-85.9433,-131.0188,0.0,
07/05/2023,18:20:42,2,LEFT,311,232,1319.5,314,246,74.24284477308234,-92.2216,-116.2587,1216.39,
07/05/2023,18:20:42,2,RIGHT,315,244,1316.0,339,256,66.76076692189807,-91.302,-117.1124,915.27,
07/05/2023,18:20:43,2,LEFT,317,251,1599.0,305,270,52.20153254455275,-90.8069,-107.4566,1480.1,
07/05/2023,18:20:43,2,LEFT,317,254,2079.5,312,277,43.73785545725808,-90.8185,-105.7959,1534.97,
07/05/2023,18:20:43,2,LEFT,317,251,1621.0,308,270,51.419840528729765,-90.8069,-107.7713,1480.1,
07/05/2023,18:20:43,2,LEFT,317,246,1017.0,317,260,60.07495318350236,-90.7884,-112.2035,1398.51,
07/05/2023,18:20:43,3,RIGHT,348,202,759.0,325,212,108.11567878897121,-83.8999,-127.8464,0.0,
